#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Mon Jan 21 16:12:40 2019

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       DCE_Q816_map.ncd
#OUTPUT FILE:      DCE_Q816_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -5
#PACKAGE:          pq208
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P23,CPUrom_ir<4>,IBUF,IO_L07N_3/LHCLK1,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
P24,CPUrom_ir<3>,IBUF,IO_L08P_3/LHCLK2,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
P25,CPUrom_ir<2>,IBUF,IO_L08N_3/LHCLK3/IRDY2,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
P26,,IBUF,IP,UNUSED,,3,,,,,,,,,
P27,,,GND,,,,,,,,,,,,
P28,CPUrom_ir<1>,IBUF,IO_L09P_3/LHCLK4/TRDY2,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
P29,CPUrom_ir<0>,IBUF,IO_L09N_3/LHCLK5,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
P30,CPUrom_a<15>,IOB,IO_L10P_3/LHCLK6,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P31,CPUrom_a<14>,IOB,IO_L10N_3/LHCLK7,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P32,,IBUF,IP,UNUSED,,3,,,,,,,,,
P33,CPUrom_a<13>,IOB,IO_L11P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P34,CPUrom_a<12>,IOB,IO_L11N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P35,CPUrom_a<11>,IOB,IO_L12P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P36,CPUrom_a<10>,IOB,IO_L12N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P37,,,GND,,,,,,,,,,,,
P38,,,VCCO_3,,,3,,,,,2.50,,,,
P39,CPUrom_a<9>,IOB,IO_L13P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P40,CPUrom_a<8>,IOB,IO_L13N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P41,CPUrom_a<7>,IOB,IO_L14P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P42,CPUrom_a<6>,IOB,IO_L14N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P43,,IBUF,IP,UNUSED,,3,,,,,,,,,
P44,,,VCCAUX,,,,,,,,2.5,,,,
P45,CPUrom_a<5>,IOB,IO/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P46,,,VCCO_3,,,3,,,,,2.50,,,,
P47,CPUrom_a<4>,IOB,IO_L15P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P48,CPUrom_a<3>,IOB,IO_L15N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P49,CPUrom_a<2>,IOB,IO_L16P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P50,CPUrom_a<1>,IOB,IO_L16N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P51,,IBUF,IP,UNUSED,,3,,,,,,,,,
P52,,,GND,,,,,,,,,,,,
P53,,,GND,,,,,,,,,,,,
P54,,IBUF,IP,UNUSED,,2,,,,,,,,,
P55,CPUrom_a<0>,IOB,IO_L01P_2/CSO_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P56,,DIFFS,IO_L01N_2/INIT_B,UNUSED,,2,,,,,,,,,
P57,,DIFFMI,IP_L02P_2,UNUSED,,2,,,,,,,,,
P58,,DIFFSI,IP_L02N_2,UNUSED,,2,,,,,,,,,
P59,,,VCCO_2,,,2,,,,,2.50,,,,
P60,CPUram_e,IOB,IO_L03P_2/DOUT/BUSY,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P61,CPUram_clk,IOB,IO_L03N_2/MOSI/CSI_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P62,CPUin<6>,IBUF,IO_L04P_2,INPUT,LVCMOS25*,2,,,,IFD,,LOCATED,YES,NONE,
P63,CPUin<7>,IBUF,IO_L04N_2,INPUT,LVCMOS25*,2,,,,IFD,,LOCATED,YES,NONE,
P64,CPUin<4>,IBUF,IO_L05P_2,INPUT,LVCMOS25*,2,,,,IFD,,LOCATED,YES,NONE,
P65,CPUin<5>,IBUF,IO_L05N_2,INPUT,LVCMOS25*,2,,,,IFD,,LOCATED,YES,NONE,
P66,,,VCCAUX,,,,,,,,2.5,,,,
P67,,,VCCINT,,,,,,,,1.2,,,,
P68,,DIFFM,IO_L06P_2,UNUSED,,2,,,,,,,,,
P69,CPUin<2>,IBUF,IO_L06N_2,INPUT,LVCMOS25*,2,,,,IFD,,LOCATED,YES,NONE,
P70,,,GND,,,,,,,,,,,,
P71,,DIFFMI,IP_L07P_2,UNUSED,,2,,,,,,,,,
P72,,DIFFSI,IP_L07N_2/VREF_2,UNUSED,,2,,,,,,,,,
P73,,,VCCO_2,,,2,,,,,2.50,,,,
P74,CPUin<3>,IBUF,IO_L08P_2/D7/GCLK12,INPUT,LVCMOS25*,2,,,,IFD,,LOCATED,YES,NONE,
P75,CPUin<0>,IBUF,IO_L08N_2/D6/GCLK13,INPUT,LVCMOS25*,2,,,,IFD,,LOCATED,YES,NONE,
P76,CPUin<1>,IBUF,IO/D5,INPUT,LVCMOS25*,2,,,,IFD,,LOCATED,YES,NONE,
P77,,DIFFM,IO_L09P_2/D4/GCLK14,UNUSED,,2,,,,,,,,,
P78,,DIFFS,IO_L09N_2/D3/GCLK15,UNUSED,,2,,,,,,,,,
P79,,,GND,,,,,,,,,,,,
P80,,DIFFMI,IP_L10P_2/RDWR_B/GCLK0,UNUSED,,2,,,,,,,,,
P81,,DIFFSI,IP_L10N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
P82,,DIFFM,IO_L11P_2/D2/GCLK2,UNUSED,,2,,,,,,,,,
P83,,DIFFS,IO_L11N_2/D1/GCLK3,UNUSED,,2,,,,,,,,,
P84,,IOB,IO/M1,UNUSED,,2,,,,,,,,,
P85,,,GND,,,,,,,,,,,,
P86,,DIFFM,IO_L12P_2/M0,UNUSED,,2,,,,,,,,,
P87,,DIFFS,IO_L12N_2/DIN/D0,UNUSED,,2,,,,,,,,,
P88,,,VCCO_2,,,2,,,,,2.50,,,,
P89,,DIFFM,IO_L13P_2,UNUSED,,2,,,,,,,,,
P90,,DIFFS,IO_L13N_2,UNUSED,,2,,,,,,,,,
P91,,IBUF,IP,UNUSED,,2,,,,,,,,,
P92,,,VCCAUX,,,,,,,,2.5,,,,
P93,,DIFFM,IO_L14P_2/A23,UNUSED,,2,,,,,,,,,
P94,CPUram_a<7>,IOB,IO_L14N_2/A22,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P95,,,GND,,,,,,,,,,,,
P96,CPUram_a<6>,IOB,IO_L15P_2/A21,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P97,CPUram_a<5>,IOB,IO_L15N_2/A20,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P98,CPUram_a<4>,IOB,IO/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P99,CPUram_a<3>,IOB,IO_L16P_2/VS2/A19,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P100,CPUram_a<2>,IOB,IO_L16N_2/VS1/A18,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P101,CPUreset,IBUF,IP,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P102,CPUram_a<1>,IOB,IO_L17P_2/VS0/A17,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P103,,DIFFS,IO_L17N_2/CCLK,UNUSED,,2,,,,,,,,,
P104,,,DONE,,,,,,,,,,,,
P105,,,GND,,,,,,,,,,,,
P106,CPUram_a<0>,IOB,IO_L01P_1/A16,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P107,CPUvga<7>,IOB,IO_L01N_1/A15,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P108,CPUvga<6>,IOB,IO_L02P_1/A14,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P109,CPUvga<5>,IOB,IO_L02N_1/A13,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P110,,IBUF,IP,UNUSED,,1,,,,,,,,,
P111,,,VCCAUX,,,,,,,,2.5,,,,
P112,CPUvga<4>,IOB,IO_L03P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P113,,DIFFS,IO_L03N_1/VREF_1,UNUSED,,1,,,,,,,,,
P114,,,VCCO_1,,,1,,,,,2.50,,,,
P115,CPUvga<3>,IOB,IO_L04P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P116,CPUvga<1>,IOB,IO_L04N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P117,,,VCCINT,,,,,,,,1.2,,,,
P118,,IBUF,IP,UNUSED,,1,,,,,,,,,
P119,CPUvga<0>,IOB,IO_L05P_1/A12,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P120,CPUout<7>,IOB,IO_L05N_1/A11,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P121,,,GND,,,,,,,,,,,,
P122,CPUout<6>,IOB,IO_L06P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P123,CPUout<5>,IOB,IO_L06N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P124,,IBUF,IP,UNUSED,,1,,,,,,,,,
P125,,,VCCO_1,,,1,,,,,2.50,,,,
P126,CPUout<4>,IOB,IO_L07P_1/A10/RHCLK0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P127,CPUout<3>,IOB,IO_L07N_1/A9/RHCLK1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P128,CPUout<2>,IOB,IO_L08P_1/A8/RHCLK2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P129,CPUout<1>,IOB,IO_L08N_1/A7/RHCLK3/TRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P130,,IBUF,IP,UNUSED,,1,,,,,,,,,
P131,,,GND,,,,,,,,,,,,
P132,CPUout<0>,IOB,IO_L09P_1/A6/RHCLK4/IRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P133,CPUram_wy<7>,IBUF,IO_L09N_1/A5/RHCLK5,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P134,CPUram_wy<6>,IBUF,IO_L10P_1/A4/RHCLK6,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P135,CPUram_wy<5>,IBUF,IO_L10N_1/A3/RHCLK7,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P136,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
P137,CPUram_wy<4>,IBUF,IO_L11P_1/A2,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P138,CPUram_wy<3>,IBUF,IO_L11N_1/A1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P139,CPUram_wy<2>,IBUF,IO_L12P_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P140,CPUram_wy<1>,IBUF,IO_L12N_1/A0,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P141,,,GND,,,,,,,,,,,,
P142,,IBUF,IP,UNUSED,,1,,,,,,,,,
P143,,,VCCO_1,,,1,,,,,2.50,,,,
P144,CPUram_wy<0>,IBUF,IO_L13P_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P145,CPUram_we<7>,IOB,IO_L13N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P146,CPUram_we<6>,IOB,IO_L14P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P147,CPUram_we<5>,IOB,IO_L14N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P148,,IBUF,IP,UNUSED,,1,,,,,,,,,
P149,,,VCCAUX,,,,,,,,2.5,,,,
P150,CPUram_we<4>,IOB,IO_L15P_1/HDC,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P151,CPUram_we<3>,IOB,IO_L15N_1/LDC0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P152,CPUram_we<2>,IOB,IO_L16P_1/LDC1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P153,CPUram_we<1>,IOB,IO_L16N_1/LDC2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P154,,IBUF,IP,UNUSED,,1,,,,,,,,,
P155,,,TMS,,,,,,,,,,,,
P156,,,GND,,,,,,,,,,,,
P157,,,TDO,,,,,,,,,,,,
P158,,,TCK,,,,,,,,,,,,
P159,,IBUF,IP,UNUSED,,0,,,,,,,,,
P160,CPUram_we<0>,IOB,IO_L01P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P161,,DIFFS,IO_L01N_0,UNUSED,,0,,,,,,,,,
P162,,DIFFM,IO_L02P_0,UNUSED,,0,,,,,,,,,
P163,,DIFFS,IO_L02N_0/VREF_0,UNUSED,,0,,,,,,,,,
P164,,DIFFM,IO_L03P_0,UNUSED,,0,,,,,,,,,
P165,,DIFFS,IO_L03N_0,UNUSED,,0,,,,,,,,,
P166,,,VCCAUX,,,,,,,,2.5,,,,
P167,,DIFFM,IO_L04P_0,UNUSED,,0,,,,,,,,,
P168,,DIFFS,IO_L04N_0/VREF_0,UNUSED,,0,,,,,,,,,
P169,,IBUF,IP,UNUSED,,0,,,,,,,,,
P170,,,VCCINT,,,,,,,,1.2,,,,
P171,,DIFFM,IO_L05P_0,UNUSED,,0,,,,,,,,,
P172,,DIFFS,IO_L05N_0,UNUSED,,0,,,,,,,,,
P173,,,GND,,,,,,,,,,,,
P174,,DIFFMI,IP_L06P_0,UNUSED,,0,,,,,,,,,
P175,,DIFFSI,IP_L06N_0,UNUSED,,0,,,,,,,,,
P176,,,VCCO_0,,,0,,,,,2.50,,,,
P177,,DIFFM,IO_L07P_0/GCLK4,UNUSED,,0,,,,,,,,,
P178,,DIFFS,IO_L07N_0/GCLK5,UNUSED,,0,,,,,,,,,
P179,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,
P180,,DIFFM,IO_L08P_0/GCLK6,UNUSED,,0,,,,,,,,,
P181,,DIFFS,IO_L08N_0/GCLK7,UNUSED,,0,,,,,,,,,
P182,,,GND,,,,,,,,,,,,
P183,,DIFFMI,IP_L09P_0/GCLK8,UNUSED,,0,,,,,,,,,
P184,CPUclk,IBUF,IP_L09N_0/GCLK9,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P185,,DIFFM,IO_L10P_0/GCLK10,UNUSED,,0,,,,,,,,,
P186,,DIFFS,IO_L10N_0/GCLK11,UNUSED,,0,,,,,,,,,
P187,,IOB,IO,UNUSED,,0,,,,,,,,,
P188,,,GND,,,,,,,,,,,,
P189,,DIFFM,IO_L11P_0,UNUSED,,0,,,,,,,,,
P190,,DIFFS,IO_L11N_0,UNUSED,,0,,,,,,,,,
P191,,,VCCO_0,,,0,,,,,2.50,,,,
P192,,DIFFM,IO_L12P_0,UNUSED,,0,,,,,,,,,
P193,,DIFFS,IO_L12N_0/VREF_0,UNUSED,,0,,,,,,,,,
P194,,IBUF,IP,UNUSED,,0,,,,,,,,,
P195,,,VCCAUX,,,,,,,,2.5,,,,
P196,,DIFFM,IO_L13P_0,UNUSED,,0,,,,,,,,,
P197,,DIFFS,IO_L13N_0,UNUSED,,0,,,,,,,,,
P198,,,GND,,,,,,,,,,,,
P199,,DIFFM,IO_L14P_0,UNUSED,,0,,,,,,,,,
P200,,DIFFS,IO_L14N_0/VREF_0,UNUSED,,0,,,,,,,,,
P201,,,VCCO_0,,,0,,,,,2.50,,,,
P202,,DIFFM,IO_L15P_0,UNUSED,,0,,,,,,,,,
P203,,DIFFS,IO_L15N_0,UNUSED,,0,,,,,,,,,
P204,,IBUF,IP,UNUSED,,0,,,,,,,,,
P205,,DIFFM,IO_L16P_0,UNUSED,,0,,,,,,,,,
P206,,DIFFS,IO_L16N_0/HSWAP,UNUSED,,0,,,,,,,,,
P207,,,TDI,,,,,,,,,,,,
P208,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
